system,era,eval_on_era,f1,precision,recall,auc,backward_transfer
Baseline_A,0,0,0.6832298136645962,0.5392156862745098,0.9322033898305084,0.9942069792911572,0.6832298136645962
Baseline_A,0,1,0.4521497919556172,0.29963235294117646,0.9209039548022598,0.9840767201474349,0.4521497919556172
Baseline_A,1,1,0.4699738903394256,0.30927835051546393,0.9782608695652174,0.9991944394001371,
Baseline_A,0,2,0.46567164179104475,0.31643002028397565,0.8813559322033898,0.9829996989956766,0.46567164179104475
Baseline_A,1,2,0.3881401617250674,0.25806451612903225,0.782608695652174,0.9636803755654975,
Baseline_A,2,2,0.42700729927007297,0.27923627684964203,0.9069767441860465,0.9975440889291435,
Baseline_A,0,3,0.5869158878504673,0.43854748603351956,0.8870056497175142,0.9806390741794292,0.5869158878504673
Baseline_A,1,3,0.41714285714285715,0.28294573643410853,0.7934782608695652,0.9347267391701778,
Baseline_A,2,3,0.5588235294117647,0.40860215053763443,0.8837209302325582,0.9732246085637799,
Baseline_A,3,3,0.5128205128205128,0.3669724770642202,0.851063829787234,0.9739606303688921,
Baseline_B,0,0,0.6832298136645962,0.5392156862745098,0.9322033898305084,0.9942069792911572,0.6832298136645962
Baseline_B,0,1,0.7305122494432071,0.6029411764705882,0.9265536723163842,0.9989341551451376,0.7305122494432071
Baseline_B,1,1,0.6757990867579908,0.5826771653543307,0.8043478260869565,0.9962098908778746,
Baseline_B,0,2,0.5738831615120275,0.4123456790123457,0.943502824858757,0.99780013885654,0.5738831615120275
Baseline_B,1,2,0.46920821114369504,0.321285140562249,0.8695652173913043,0.9982224166573422,
Baseline_B,2,2,0.3993231810490694,0.2554112554112554,0.9147286821705426,0.9923631325717517,
Baseline_B,0,3,0.720173535791757,0.5845070422535211,0.9378531073446328,0.9978183152539828,0.720173535791757
Baseline_B,1,3,0.6995515695067265,0.5954198473282443,0.8478260869565217,0.9984896120897068,
Baseline_B,2,3,0.4600760456273764,0.3047858942065491,0.937984496124031,0.99535191302891,
Baseline_B,3,3,0.38164251207729466,0.246875,0.8404255319148937,0.9927575497356508,
Baseline_C,0,0,0.7551487414187643,0.6346153846153846,0.9322033898305084,0.9916552835486183,0.7551487414187643
Baseline_C,0,1,0.3154819863680623,0.19058823529411764,0.9152542372881356,0.9832275204498393,0.3154819863680623
Baseline_C,1,1,0.23281907433380084,0.13365539452495975,0.9021739130434783,0.9978554050823383,
Baseline_C,0,2,0.6223091976516634,0.47604790419161674,0.8983050847457628,0.9859924010726699,0.6223091976516634
Baseline_C,1,2,0.5680933852140078,0.44242424242424244,0.7934782608695652,0.9629302259177124,
Baseline_C,2,2,0.524731182795699,0.3630952380952381,0.9457364341085271,0.9987057561891598,
Baseline_C,0,3,0.31465093411996065,0.19047619047619047,0.903954802259887,0.9772745713074787,0.31465093411996065
Baseline_C,1,3,0.19543147208121828,0.11063218390804598,0.8369565217391305,0.9385566677488999,
Baseline_C,2,3,0.16920731707317074,0.09382924767540152,0.8604651162790697,0.9736892536534629,
Baseline_C,3,3,0.17391304347826086,0.09608938547486033,0.9148936170212766,0.9748729867122259,
Ours,0,0,0.7551487414187643,0.6346153846153846,0.9322033898305084,0.9916552835486183,0.7551487414187643
Ours,0,1,0.629126213592233,0.47928994082840237,0.9152542372881356,0.9903542591793592,0.629126213592233
Ours,1,1,0.589041095890411,0.43,0.9347826086956522,0.9992447296159539,
Ours,0,2,0.7979002624671916,0.7450980392156863,0.8587570621468926,0.9851010019053001,0.7979002624671916
Ours,1,2,0.8048780487804879,0.9166666666666666,0.717391304347826,0.9448894134968545,
Ours,2,2,0.8560606060606061,0.837037037037037,0.875968992248062,0.9893906037855704,
Ours,0,3,0.6830357142857143,0.5645756457564576,0.864406779661017,0.9830766603283938,0.6830357142857143
Ours,1,3,0.64,0.5413533834586466,0.782608695652174,0.9425025389680386,
Ours,2,3,0.44234404536862004,0.2925,0.9069767441860465,0.9854363759079121,
Ours,3,3,0.4887640449438202,0.3320610687022901,0.925531914893617,0.9866073539047984,
